|6.6.6
dunite_stx11_1.tab                                                                                  
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           3
rho,kg/m3      vp,km/s        vs,km/s       
  3381.83        8.49826        4.81916     
  3385.58        8.51019        4.82289     
  3389.31        8.52205        4.82660     
  3393.04        8.53393        4.83032     
  3396.75        8.54568        4.83399     
  3400.44        8.55735        4.83763     
  3404.12        8.56899        4.84126     
  3407.78        8.58057        4.84487     
  3411.43        8.59212        4.84847     
  3415.06        8.60359        4.85204     
  3418.69        8.61501        4.85559     
  3422.30        8.62640        4.85912     
  3425.90        8.63771        4.86264     
  3429.48        8.64900        4.86616     
  3433.05        8.66023        4.86966     
  3436.61        8.67139        4.87312     
  3446.86        8.70990        4.90343     
  3450.42        8.72091        4.90701     
  3454.00        8.73196        4.91065     
  3457.51        8.74277        4.91412     
  3461.00        8.75353        4.91757     
  3464.53        8.76443        4.92114     
  3468.00        8.77510        4.92456     
  3471.51        8.78594        4.92813     
  3474.95        8.79653        4.93152     
  3478.39        8.80708        4.93489     
  3481.85        8.81774        4.93835     
  3485.26        8.82820        4.94169     
  3488.70        8.83877        4.94511     
  3492.09        8.84915        4.94842     
  3495.47        8.85949        4.95170     
  3498.87        8.86993        4.95508     
  3502.23        8.88019        4.95834     
  3505.61        8.89058        4.96170     
  3508.95        8.90076        4.96493     
  3512.27        8.91087        4.96811     
  3515.60        8.92107        4.97138     
  3522.26        8.94618        4.98421     
  3525.54        8.95619        4.98736     
  3536.49        8.99997        5.01236     
  3539.74        9.00987        5.01547     
  3555.69        9.07336        5.05376     
  3564.28        9.10497        5.07132     
  3567.47        9.11467        5.07433     
  3723.98        9.76888        5.51363     
  3726.81        9.77790        5.51635     
  3729.62        9.78688        5.51905     
  3732.46        9.79597        5.52184     
  3735.26        9.80490        5.52452     
  3738.08        9.81393        5.52729     
  3740.87        9.82280        5.52995     
  3743.66        9.83172        5.53265     
  3751.56        9.86371        5.54984     
  3754.31        9.87245        5.55244     
  3757.06        9.88117        5.55503     
  3771.91        9.93981        5.58968     
  3803.42        10.0515        5.65948     
  3806.08        10.0595        5.66186     
  3833.86        10.1613        5.72626     
  3855.09        10.2345        5.77253     
  3876.48        10.3067        5.81850     
  3879.17        10.3147        5.82105     
  3881.81        10.3226        5.82348     
  3884.45        10.3305        5.82592     
  3887.02        10.3380        5.82814     
  3889.64        10.3458        5.83054     
  3892.30        10.3538        5.83307     
  3894.90        10.3614        5.83539     
