|6.6.6
peridotite_stx11_1.tab                                                                              
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  54551.8        842.424        3488.14        8.54976        4.80698     
  56066.9        842.424        3491.89        8.56272        4.81171     
  57581.9        842.424        3495.57        8.57401        4.81441     
  59097.0        842.424        3499.22        8.58590        4.81795     
  60612.0        842.424        3502.88        8.59763        4.82134     
  62127.1        842.424        3506.55        8.60974        4.82520     
  63642.1        842.424        3510.18        8.62144        4.82864     
  65157.2        842.424        3513.82        8.63320        4.83223     
  66672.2        842.424        3517.42        8.64451        4.83523     
  68187.3        842.424        3521.01        8.65650        4.83925     
  69702.3        842.424        3524.58        8.66766        4.84219     
  71217.4        842.424        3538.02        8.71753        4.88339     
  72732.4        842.424        3541.66        8.72958        4.88780     
  74247.5        842.424        3545.19        8.74090        4.89146     
  75762.5        842.424        3548.74        8.75243        4.89543     
  77277.6        842.424        3552.27        8.76387        4.89934     
  78792.6        842.424        3555.76        8.77503        4.90294     
  80307.7        842.424        3559.29        8.78653        4.90696     
  81822.7        842.424        3562.83        8.79828        4.91133     
  83337.8        842.424        3566.31        8.80943        4.91500     
  84852.8        842.424        3569.81        8.82073        4.91886     
  86367.9        842.424        3573.24        8.83147        4.92209     
  87882.9        842.424        3576.68        8.84257        4.92582     
  89398.0        842.424        3580.15        8.85374        4.92961     
  90913.0        842.424        3583.64        8.86508        4.93361     
  92428.1        842.424        3587.11        8.87623        4.93740     
  93943.1        842.424        3590.53        8.88713        4.94098     
  95458.2        842.424        3593.90        8.89823        4.94497     
  96973.2        842.424        3597.30        8.90888        4.94826     
  98488.3        842.424        3602.26        8.92670        4.95603     
  100003.        842.424        3608.76        8.95085        4.96786     
  101518.        842.424        3614.74        8.97291        4.97837     
  103033.        842.424        3620.93        8.99590        4.98941     
  104548.        842.424        3633.92        9.04401        5.01731     
  106064.        842.424        3641.61        9.07278        5.03232     
  107579.        842.424        3649.06        9.10088        5.04681     
  109094.        842.424        3654.40        9.12076        5.05598     
  110609.        842.424        3667.29        9.17024        5.08449     
  112124.        842.424        3672.75        9.18897        5.09320     
  113639.        842.424        3757.71        9.51992        5.31397     
  115154.        842.424        3762.39        9.53795        5.32183     
  116669.        842.424        3767.02        9.55618        5.32993     
  118184.        842.424        3773.49        9.58062        5.34223     
  119699.        842.424        3780.43        9.60665        5.35539     
  121214.        842.424        3788.22        9.63401        5.36969     
  122729.        842.424        3796.62        9.66319        5.38529     
  124244.        842.424        3804.71        9.69060        5.39991     
  125759.        842.424        3810.90        9.71441        5.41170     
  127274.        842.424        3814.85        9.73200        5.41912     
  128789.        842.424        3823.99        9.76351        5.43629     
  130304.        842.424        3832.95        9.79502        5.45340     
  131819.        842.424        3889.61        9.99223        5.57880     
  133334.        842.424        3900.67        10.0345        5.60622     
  134849.        842.424        3908.15        10.0672        5.62903     
  136365.        842.424        3915.69        10.1003        5.65213     
  137880.        842.424        3926.34        10.1505        5.68948     
  139395.        842.424        3928.83        10.1560        5.69020     
  140910.        842.424        3936.12        10.1882        5.71288     
  142425.        842.424        3943.14        10.2188        5.73437     
  143940.        842.424        3950.06        10.2489        5.75552     
  145455.        842.424        3953.63        10.2608        5.76168     
  146970.        842.424        3956.19        10.2681        5.76386     
  148485.        842.424        3958.72        10.2752        5.76585     
  150000.        842.424        3961.30        10.2826        5.76817     
  10.0000        856.566        3173.56        7.07171        3.52736     
  1525.05        856.566        3217.61        7.74641        4.44303     
  3040.10        856.566        3224.02        7.76652        4.45128     
  4555.15        856.566        3230.36        7.78647        4.45942     
  6070.20        856.566        3241.70        7.82191        4.47806     
  7585.25        856.566        3361.82        8.12638        4.67962     
  9100.30        856.566        3365.98        8.14054        4.68381     
  10615.4        856.566        3370.54        8.15630        4.68827     
  12130.4        856.566        3374.77        8.17060        4.69246     
  13645.5        856.566        3379.24        8.18592        4.69682     
  15160.5        856.566        3383.67        8.20106        4.70111     
  16675.6        856.566        3388.23        8.21684        4.70561     
  18190.6        856.566        3392.23        8.23011        4.70957     
  19705.7        856.566        3396.77        8.24568        4.71396     
  21220.7        856.566        3400.81        8.25918        4.71796     
  22735.8        856.566        3405.06        8.27337        4.72192     
  24250.8        856.566        3409.18        8.28723        4.72603     
  25765.9        856.566        3413.20        8.30054        4.72998     
  27280.9        856.566        3417.34        8.31456        4.73421     
  28796.0        856.566        3421.30        8.32764        4.73815     
  30311.0        856.566        3425.31        8.34103        4.74220     
  31826.1        856.566        3429.33        8.35427        4.74597     
  33341.1        856.566        3433.29        8.36730        4.74974     
  34856.2        856.566        3437.19        8.38024        4.75366     
  36371.2        856.566        3441.15        8.39325        4.75747     
  37886.3        856.566        3445.04        8.40616        4.76139     
  39401.3        856.566        3448.95        8.41915        4.76543     
  40916.4        856.566        3452.81        8.43172        4.76911     
  42431.4        856.566        3456.64        8.44419        4.77260     
  43946.5        856.566        3460.47        8.45676        4.77637     
  45461.5        856.566        3464.29        8.46926        4.78009     
  46976.6        856.566        3468.08        8.48170        4.78384     
  48491.6        856.566        3471.86        8.49401        4.78747     
  50006.7        856.566        3475.63        8.50628        4.79107     
  51521.7        856.566        3479.39        8.51862        4.79487     
  53036.8        856.566        3483.13        8.53079        4.79848     
  54551.8        856.566        3486.87        8.54315        4.80239     
  56066.9        856.566        3490.56        8.55504        4.80580     
  57581.9        856.566        3494.28        8.56716        4.80952     
  59097.0        856.566        3497.95        8.57921        4.81322     
  60612.0        856.566        3501.65        8.59191        4.81776     
  62127.1        856.566        3505.32        8.60399        4.82160     
  63642.1        856.566        3508.91        8.61454        4.82355     
  65157.2        856.566        3512.54        8.62621        4.82698     
  66672.2        856.566        3516.18        8.63854        4.83129     
  68187.3        856.566        3519.79        8.64996        4.83448     
  69702.3        856.566        3523.37        8.66119        4.83752     
  71217.4        856.566        3528.66        8.67957        4.84774     
  72732.4        856.566        3540.35        8.72296        4.88267     
  74247.5        856.566        3543.94        8.73462        4.88670     
  75762.5        856.566        3547.48        8.74613        4.89064     
  77277.6        856.566        3551.00        8.75744        4.89436     
  78792.6        856.566        3554.53        8.76900        4.89845     
  80307.7        856.566        3558.06        8.78056        4.90252     
  81822.7        856.566        3561.58        8.79194        4.90643     
  83337.8        856.566        3565.04        8.80298        4.90998     
  84852.8        856.566        3568.54        8.81422        4.91376     
  86367.9        856.566        3572.00        8.82535        4.91746     
  87882.9        856.566        3575.44        8.83620        4.92084     
  89398.0        856.566        3578.89        8.84734        4.92462     
  90913.0        856.566        3582.39        8.85859        4.92844     
  92428.1        856.566        3585.89        8.86994        4.93245     
  93943.1        856.566        3589.30        8.88080        4.93601     
  95458.2        856.566        3592.75        8.89187        4.93975     
  96973.2        856.566        3596.06        8.90231        4.94298     
  98488.3        856.566        3599.47        8.91338        4.94684     
  100003.        856.566        3605.63        8.93629        4.95790     
  101518.        856.566        3612.46        8.96188        4.97058     
  103033.        856.566        3618.50        8.98420        4.98125     
  104548.        856.566        3629.77        9.02566        5.00472     
  106064.        856.566        3639.52        9.06223        5.02488     
  107579.        856.566        3646.78        9.08899        5.03858     
  109094.        856.566        3654.60        9.11800        5.05379     
  110609.        856.566        3662.56        9.14786        5.06954     
  112124.        856.566        3670.60        9.17825        5.08563     
  113639.        856.566        3753.05        9.49863        5.29931     
