|6.6.6
peridotite_hpha02_1.tab                                                                             
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  78792.6        828.283        3541.98        8.75960        4.95163     
  80307.7        828.283        3545.59        8.77137        4.95638     
  81822.7        828.283        3549.20        8.78312        4.96118     
  83337.8        828.283        3552.79        8.79482        4.96596     
  84852.8        828.283        3556.38        8.80650        4.97075     
  86367.9        828.283        3559.97        8.81819        4.97560     
  87882.9        828.283        3563.54        8.82983        4.98042     
  89398.0        828.283        3567.10        8.84145        4.98521     
  90913.0        828.283        3570.63        8.85299        4.98990     
  92428.1        828.283        3574.17        8.86454        4.99467     
  93943.1        828.283        3577.69        8.87608        4.99944     
  95458.2        828.283        3581.21        8.88758        5.00420     
  96973.2        828.283        3584.72        8.89906        5.00895     
  98488.3        828.283        3588.21        8.91052        5.01369     
  100003.        828.283        3591.70        8.92192        5.01840     
  101518.        828.283        3595.17        8.93333        5.02313     
  103033.        828.283        3598.64        8.94471        5.02785     
  104548.        828.283        3602.10        8.95608        5.03260     
  106064.        828.283        3605.55        8.96741        5.03732     
  107579.        828.283        3608.99        8.97871        5.04200     
  109094.        828.283        3612.42        8.98999        5.04671     
  110609.        828.283        3615.84        9.00124        5.05141     
  112124.        828.283        3619.23        9.01242        5.05598     
  113639.        828.283        3622.63        9.02365        5.06068     
  115154.        828.283        3626.03        9.03484        5.06536     
  116669.        828.283        3629.41        9.04599        5.07001     
  118184.        828.283        3632.78        9.05713        5.07465     
  119699.        828.283        3636.14        9.06823        5.07929     
  121214.        828.283        3639.49        9.07927        5.08387     
  122729.        828.283        3642.83        9.09029        5.08846     
  124244.        828.283        3646.17        9.10134        5.09309     
  125759.        828.283        3649.50        9.11246        5.09777     
  127274.        828.283        3652.82        9.12346        5.10239     
  128789.        828.283        3656.13        9.13445        5.10699     
  130304.        828.283        3659.44        9.14540        5.11159     
  131819.        828.283        3662.73        9.15634        5.11617     
  133334.        828.283        3666.03        9.16729        5.12082     
  134849.        828.283        3669.30        9.17818        5.12536     
  136365.        828.283        3672.57        9.18906        5.12997     
  137880.        828.283        3705.37        9.27684        5.20730     
  139395.        828.283        3709.35        9.28999        5.21412     
  140910.        828.283        3713.21        9.30267        5.22056     
  142425.        828.283        3717.34        9.31648        5.22782     
  143940.        828.283        3721.32        9.32963        5.23466     
  145455.        828.283        3724.93        9.34120        5.24040     
  146970.        828.283        3728.98        9.35465        5.24745     
  148485.        828.283        3732.81        9.36718        5.25386     
  150000.        828.283        3736.79        9.38035        5.26070     
  10.0000        842.424        3209.34        7.73354        4.43363     
  1525.05        842.424        3218.06        7.76166        4.45234     
  3040.10        842.424        3227.51        7.79222        4.47189     
  4555.15        842.424        3306.80        7.98396        4.64184     
  6070.20        842.424        3311.78        8.00148        4.64862     
  7585.25        842.424        3316.23        8.01691        4.65406     
  9100.30        842.424        3320.66        8.03227        4.65949     
  10615.4        842.424        3325.08        8.04742        4.66489     
  12130.4        842.424        3346.09        8.11999        4.69427     
  13645.5        842.424        3364.40        8.18258        4.71936     
  15160.5        842.424        3369.67        8.20000        4.72617     
  16675.6        842.424        3374.60        8.21632        4.73264     
  18190.6        842.424        3379.60        8.23254        4.73879     
  19705.7        842.424        3383.54        8.24552        4.74393     
  21220.7        842.424        3389.17        8.26382        4.75105     
  22735.8        842.424        3394.86        8.28256        4.75857     
  24250.8        842.424        3399.43        8.29739        4.76435     
  25765.9        842.424        3403.86        8.31178        4.76984     
  27280.9        842.424        3408.10        8.32553        4.77523     
  28796.0        842.424        3412.43        8.33960        4.78083     
  30311.0        842.424        3416.73        8.35354        4.78632     
  31826.1        842.424        3421.14        8.36784        4.79196     
  33341.1        842.424        3425.31        8.38132        4.79713     
  34856.2        842.424        3429.24        8.39395        4.80225     
  36371.2        842.424        3433.49        8.40772        4.80767     
  37886.3        842.424        3437.67        8.42127        4.81310     
  39401.3        842.424        3441.57        8.43374        4.81806     
  40916.4        842.424        3445.68        8.44708        4.82328     
  42431.4        842.424        3449.65        8.45984        4.82840     
  43946.5        842.424        3453.65        8.47272        4.83352     
  45461.5        842.424        3457.62        8.48551        4.83859     
  46976.6        842.424        3461.52        8.49808        4.84359     
  48491.6        842.424        3465.43        8.51064        4.84859     
  50006.7        842.424        3469.28        8.52305        4.85350     
  51521.7        842.424        3473.18        8.53561        4.85852     
  53036.8        842.424        3477.05        8.54810        4.86351     
  54551.8        842.424        3480.90        8.56043        4.86856     
  56066.9        842.424        3484.72        8.57285        4.87357     
  57581.9        842.424        3488.51        8.58503        4.87842     
  59097.0        842.424        3492.33        8.59736        4.88344     
  60612.0        842.424        3496.10        8.60953        4.88832     
  62127.1        842.424        3499.86        8.62170        4.89318     
  63642.1        842.424        3503.62        8.63383        4.89810     
  65157.2        842.424        3507.40        8.64605        4.90318     
  66672.2        842.424        3511.11        8.65804        4.90790     
  68187.3        842.424        3514.83        8.67009        4.91293     
  69702.3        842.424        3518.53        8.68206        4.91769     
  71217.4        842.424        3522.24        8.69405        4.92265     
  72732.4        842.424        3525.91        8.70598        4.92742     
  74247.5        842.424        3529.58        8.71789        4.93229     
  75762.5        842.424        3533.23        8.72976        4.93714     
  77277.6        842.424        3536.89        8.74162        4.94200     
  78792.6        842.424        3540.53        8.75342        4.94683     
  80307.7        842.424        3544.15        8.76521        4.95164     
  81822.7        842.424        3547.77        8.77697        4.95647     
  83337.8        842.424        3551.37        8.78870        4.96128     
  84852.8        842.424        3554.97        8.80044        4.96614     
  86367.9        842.424        3558.55        8.81210        4.97087     
  87882.9        842.424        3562.11        8.82371        4.97563     
  89398.0        842.424        3565.67        8.83534        4.98041     
  90913.0        842.424        3569.23        8.84694        4.98522     
  92428.1        842.424        3572.77        8.85852        4.98998     
  93943.1        842.424        3576.30        8.87002        4.99475     
