|6.6.6
dunite_hpha02_1.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  133334.        828.283        3577.23        9.14476        5.12191     
  134849.        828.283        3580.46        9.15539        5.12637     
  136365.        828.283        3583.69        9.16597        5.13081     
  137880.        828.283        3605.66        9.22664        5.18321     
  139395.        828.283        3608.85        9.23670        5.18762     
  140910.        828.283        3612.02        9.24671        5.19200     
  142425.        828.283        3615.20        9.25674        5.19640     
  143940.        828.283        3618.36        9.26674        5.20080     
  145455.        828.283        3621.50        9.27669        5.20517     
  146970.        828.283        3624.66        9.28666        5.20954     
  148485.        828.283        3627.80        9.29660        5.21391     
  150000.        828.283        3630.93        9.30653        5.21828     
  10.0000        842.424        3236.77        8.06594        4.67359     
  1525.05        842.424        3241.21        8.07889        4.68000     
  3040.10        842.424        3245.86        8.09363        4.68640     
  4555.15        842.424        3250.34        8.10783        4.69239     
  6070.20        842.424        3254.91        8.12225        4.69858     
  7585.25        842.424        3259.46        8.13663        4.70474     
  9100.30        842.424        3263.90        8.15063        4.71062     
  10615.4        842.424        3276.35        8.19125        4.73472     
  12130.4        842.424        3280.57        8.20419        4.73968     
  13645.5        842.424        3284.78        8.21713        4.74466     
  15160.5        842.424        3288.96        8.22998        4.74961     
  16675.6        842.424        3293.13        8.24283        4.75456     
  18190.6        842.424        3297.69        8.25691        4.76008     
  19705.7        842.424        3301.95        8.26986        4.76514     
  21220.7        842.424        3306.13        8.28268        4.77015     
  22735.8        842.424        3310.35        8.29549        4.77516     
  24250.8        842.424        3314.44        8.30816        4.78011     
  25765.9        842.424        3318.63        8.32092        4.78512     
  27280.9        842.424        3322.74        8.33355        4.79008     
  28796.0        842.424        3326.83        8.34614        4.79501     
  30311.0        842.424        3330.90        8.35869        4.79994     
  31826.1        842.424        3334.97        8.37122        4.80487     
  33341.1        842.424        3338.99        8.38368        4.80978     
  34856.2        842.424        3342.96        8.39604        4.81464     
  36371.2        842.424        3346.98        8.40845        4.81954     
  37886.3        842.424        3350.96        8.42079        4.82441     
  39401.3        842.424        3354.89        8.43307        4.82927     
  40916.4        842.424        3358.84        8.44534        4.83411     
  42431.4        842.424        3362.75        8.45754        4.83894     
  43946.5        842.424        3366.67        8.46975        4.84379     
  45461.5        842.424        3370.57        8.48191        4.84862     
  46976.6        842.424        3374.44        8.49403        4.85343     
  48491.6        842.424        3378.30        8.50612        4.85823     
  50006.7        842.424        3382.15        8.51817        4.86304     
  51521.7        842.424        3385.98        8.53020        4.86784     
  53036.8        842.424        3389.81        8.54220        4.87262     
  54551.8        842.424        3393.61        8.55415        4.87741     
  56066.9        842.424        3397.41        8.56608        4.88218     
  57581.9        842.424        3401.19        8.57798        4.88695     
  59097.0        842.424        3404.96        8.58986        4.89172     
  60612.0        842.424        3408.72        8.60170        4.89647     
  62127.1        842.424        3412.47        8.61352        4.90123     
  63642.1        842.424        3416.20        8.62530        4.90596     
  65157.2        842.424        3419.94        8.63699        4.91070     
  66672.2        842.424        3423.64        8.64872        4.91544     
  68187.3        842.424        3427.34        8.66042        4.92016     
  69702.3        842.424        3431.02        8.67210        4.92489     
  71217.4        842.424        3434.69        8.68374        4.92959     
  72732.4        842.424        3438.35        8.69536        4.93431     
  74247.5        842.424        3442.00        8.70694        4.93900     
  75762.5        842.424        3445.63        8.71850        4.94369     
  77277.6        842.424        3449.25        8.73001        4.94836     
  78792.6        842.424        3452.87        8.74154        4.95306     
  80307.7        842.424        3456.47        8.75305        4.95776     
  81822.7        842.424        3460.06        8.76450        4.96243     
  83337.8        842.424        3463.64        8.77593        4.96709     
  84852.8        842.424        3467.21        8.78732        4.97173     
