|6.6.6
dunite_hp02_1.tab                                                                                   
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  4555.15        856.566        3248.59        8.09078        4.66536     
  6070.20        856.566        3253.16        8.10415        4.67157     
  7585.25        856.566        3257.67        8.11742        4.67772     
  9100.30        856.566        3262.16        8.13063        4.68382     
  10615.4        856.566        3266.67        8.14382        4.68991     
  12130.4        856.566        3278.87        8.18370        4.71517     
  13645.5        856.566        3283.08        8.19609        4.72054     
  15160.5        856.566        3287.27        8.20841        4.72588     
  16675.6        856.566        3291.45        8.22075        4.73124     
  18190.6        856.566        3295.95        8.23426        4.73722     
  19705.7        856.566        3300.21        8.24713        4.74286     
  21220.7        856.566        3304.39        8.25959        4.74831     
  22735.8        856.566        3308.69        8.27270        4.75409     
  24250.8        856.566        3312.73        8.28457        4.75924     
  25765.9        856.566        3316.85        8.29688        4.76464     
  27280.9        856.566        3321.13        8.31009        4.77048     
  28796.0        856.566        3325.16        8.32206        4.77572     
  30311.0        856.566        3329.26        8.33440        4.78113     
  31826.1        856.566        3333.35        8.34679        4.78658     
  33341.1        856.566        3337.38        8.35891        4.79190     
  34856.2        856.566        3341.34        8.37071        4.79707     
  36371.2        856.566        3345.38        8.38294        4.80246     
  37886.3        856.566        3349.33        8.39478        4.80766     
  39401.3        856.566        3353.32        8.40687        4.81299     
  40916.4        856.566        3357.24        8.41863        4.81816     
  42431.4        856.566        3361.19        8.43061        4.82343     
  43946.5        856.566        3365.11        8.44243        4.82865     
  45461.5        856.566        3369.00        8.45420        4.83383     
  46976.6        856.566        3372.88        8.46594        4.83901     
  48491.6        856.566        3376.75        8.47768        4.84420     
  50006.7        856.566        3380.60        8.48934        4.84936     
  51521.7        856.566        3384.44        8.50101        4.85452     
  53036.8        856.566        3388.27        8.51267        4.85967     
  54551.8        856.566        3392.09        8.52429        4.86483     
  56066.9        856.566        3395.89        8.53585        4.86994     
  57581.9        856.566        3399.68        8.54741        4.87506     
  59097.0        856.566        3403.45        8.55894        4.88018     
  60612.0        856.566        3407.21        8.57044        4.88530     
  62127.1        856.566        3410.97        8.58193        4.89040     
  63642.1        856.566        3414.70        8.59339        4.89550     
  65157.2        856.566        3418.43        8.60482        4.90058     
  66672.2        856.566        3422.16        8.61621        4.90570     
  68187.3        856.566        3425.86        8.62758        4.91077     
  69702.3        856.566        3429.55        8.63893        4.91583     
  71217.4        856.566        3433.22        8.65025        4.92087     
  72732.4        856.566        3436.89        8.66156        4.92593     
  74247.5        856.566        3440.54        8.67283        4.93095     
  75762.5        856.566        3444.18        8.68408        4.93598     
  77277.6        856.566        3447.81        8.69531        4.94100     
  78792.6        856.566        3451.43        8.70652        4.94602     
  80307.7        856.566        3455.03        8.71770        4.95102     
  81822.7        856.566        3458.63        8.72886        4.95602     
  83337.8        856.566        3462.21        8.74000        4.96101     
  84852.8        856.566        3465.78        8.75111        4.96599     
  86367.9        856.566        3469.35        8.76220        4.97096     
  87882.9        856.566        3472.90        8.77326        4.97593     
  89398.0        856.566        3476.44        8.78431        4.98089     
  90913.0        856.566        3479.96        8.79532        4.98583     
  92428.1        856.566        3483.48        8.80633        4.99079     
  93943.1        856.566        3486.99        8.81731        4.99574     
  95458.2        856.566        3490.49        8.82826        5.00067     
  96973.2        856.566        3493.97        8.83917        5.00553     
  98488.3        856.566        3497.45        8.85012        5.01051     
  100003.        856.566        3500.92        8.86101        5.01542     
  101518.        856.566        3504.37        8.87188        5.02033     
  103033.        856.566        3507.82        8.88273        5.02523     
  104548.        856.566        3511.25        8.89356        5.03013     
  106064.        856.566        3514.67        8.90436        5.03500     
  107579.        856.566        3518.09        8.91514        5.03987     
  109094.        856.566        3521.50        8.92591        5.04476     
  110609.        856.566        3524.89        8.93664        5.04961     
  112124.        856.566        3528.27        8.94736        5.05447     
  113639.        856.566        3531.65        8.95807        5.05932     
  115154.        856.566        3535.02        8.96875        5.06416     
  116669.        856.566        3538.37        8.97940        5.06900     
  118184.        856.566        3541.72        8.99004        5.07382     
  119699.        856.566        3545.06        9.00066        5.07864     
  121214.        856.566        3548.38        9.01124        5.08343     
  122729.        856.566        3551.70        9.02182        5.08824     
  124244.        856.566        3555.01        9.03238        5.09304     
  125759.        856.566        3558.31        9.04293        5.09785     
  127274.        856.566        3561.60        9.05344        5.10263     
  128789.        856.566        3564.88        9.06394        5.10740     
  130304.        856.566        3568.15        9.07441        5.11217     
  131819.        856.566        3571.42        9.08487        5.11694     
  133334.        856.566        3574.67        9.09531        5.12170     
  134849.        856.566        3577.92        9.10573        5.12646     
  136365.        856.566        3581.15        9.11612        5.13119     
  137880.        856.566        3584.38        9.12650        5.13593     
  139395.        856.566        3606.25        9.24850        5.20666     
  140910.        856.566        3609.44        9.25897        5.21159     
  142425.        856.566        3612.61        9.26938        5.21650     
  143940.        856.566        3615.78        9.27980        5.22142     
  145455.        856.566        3618.95        9.29027        5.22637     
  146970.        856.566        3622.10        9.30066        5.23128     
  148485.        856.566        3625.25        9.31102        5.23617     
  150000.        856.566        3628.38        9.32137        5.24106     
  10.0000        870.707        3233.27        8.04610        4.64137     
  1525.05        870.707        3237.72        8.05774        4.64783     
  3040.10        870.707        3242.30        8.07121        4.65412     
  4555.15        870.707        3246.91        8.08467        4.66039     
  6070.20        870.707        3251.42        8.09799        4.66657     
  7585.25        870.707        3255.96        8.11130        4.67274     
  9100.30        870.707        3260.44        8.12451        4.67884     
  10615.4        870.707        3264.94        8.13769        4.68493     
  12130.4        870.707        3277.16        8.17751        4.71016     
  13645.5        870.707        3281.38        8.18987        4.71552     
  15160.5        870.707        3285.58        8.20222        4.72088     
  16675.6        870.707        3289.76        8.21454        4.72623     
  18190.6        870.707        3294.23        8.22799        4.73219     
  19705.7        870.707        3298.46        8.24065        4.73773     
  21220.7        870.707        3302.79        8.25388        4.74355     
  22735.8        870.707        3306.88        8.26592        4.74881     
  24250.8        870.707        3310.99        8.27809        4.75413     
  25765.9        870.707        3315.25        8.29111        4.75985     
  27280.9        870.707        3319.38        8.30353        4.76532     
  28796.0        870.707        3323.52        8.31603        4.77082     
  30311.0        870.707        3327.57        8.32808        4.77611     
  31826.1        870.707        3331.72        8.34078        4.78170     
  33341.1        870.707        3335.76        8.35288        4.78701     
  34856.2        870.707        3339.71        8.36459        4.79215     
  36371.2        870.707        3343.74        8.37681        4.79754     
