|6.6.6
peridotite_hp02_1.tab                                                                               
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  13645.5        842.424        3364.42        8.16189        4.67952     
  15160.5        842.424        3369.71        8.17888        4.68680     
  16675.6        842.424        3374.60        8.19407        4.69316     
  18190.6        842.424        3379.60        8.20985        4.69952     
  19705.7        842.424        3383.54        8.22069        4.70450     
  21220.7        842.424        3389.17        8.23962        4.71231     
  22735.8        842.424        3394.86        8.25900        4.72050     
  24250.8        842.424        3399.43        8.27305        4.72661     
  25765.9        842.424        3403.88        8.28653        4.73239     
  27280.9        842.424        3408.12        8.29910        4.73785     
  28796.0        842.424        3412.43        8.31209        4.74337     
  30311.0        842.424        3416.73        8.32505        4.74900     
  31826.1        842.424        3421.15        8.33868        4.75517     
  33341.1        842.424        3425.33        8.35113        4.76037     
  34856.2        842.424        3429.24        8.36237        4.76535     
  36371.2        842.424        3433.50        8.37532        4.77099     
  37886.3        842.424        3437.68        8.38796        4.77671     
  39401.3        842.424        3441.58        8.39926        4.78168     
  40916.4        842.424        3445.69        8.41163        4.78698     
  42431.4        842.424        3449.66        8.42336        4.79229     
  43946.5        842.424        3453.65        8.43523        4.79741     
  45461.5        842.424        3457.62        8.44705        4.80260     
  46976.6        842.424        3461.52        8.45858        4.80771     
  48491.6        842.424        3465.43        8.47018        4.81286     
  50006.7        842.424        3469.28        8.48153        4.81791     
  51521.7        842.424        3473.18        8.49316        4.82308     
  53036.8        842.424        3477.07        8.50476        4.82839     
  54551.8        842.424        3480.90        8.51611        4.83346     
  56066.9        842.424        3484.71        8.52744        4.83847     
  57581.9        842.424        3488.51        8.53873        4.84353     
  59097.0        842.424        3492.33        8.55012        4.84866     
  60612.0        842.424        3496.10        8.56136        4.85370     
  62127.1        842.424        3499.86        8.57258        4.85869     
  63642.1        842.424        3503.62        8.58380        4.86377     
  65157.2        842.424        3507.39        8.59513        4.86905     
  66672.2        842.424        3511.11        8.60623        4.87391     
  68187.3        842.424        3514.81        8.61730        4.87897     
  69702.3        842.424        3518.53        8.62849        4.88404     
  71217.4        842.424        3522.22        8.63955        4.88906     
  72732.4        842.424        3525.91        8.65064        4.89410     
  74247.5        842.424        3529.58        8.66167        4.89914     
  75762.5        842.424        3533.23        8.67264        4.90414     
  77277.6        842.424        3536.88        8.68364        4.90909     
  78792.6        842.424        3540.52        8.69460        4.91413     
  80307.7        842.424        3544.14        8.70555        4.91913     
  81822.7        842.424        3547.75        8.71646        4.92411     
  83337.8        842.424        3551.37        8.72740        4.92920     
  84852.8        842.424        3554.97        8.73833        4.93429     
  86367.9        842.424        3558.55        8.74916        4.93918     
  87882.9        842.424        3562.11        8.75995        4.94409     
  89398.0        842.424        3565.67        8.77078        4.94908     
  90913.0        842.424        3569.23        8.78160        4.95410     
  92428.1        842.424        3572.77        8.79235        4.95906     
  93943.1        842.424        3576.30        8.80313        4.96402     
  95458.2        842.424        3579.82        8.81383        4.96896     
  96973.2        842.424        3583.33        8.82452        4.97389     
  98488.3        842.424        3586.84        8.83527        4.97899     
  100003.        842.424        3590.33        8.84593        4.98390     
  101518.        842.424        3593.80        8.85655        4.98878     
  103033.        842.424        3597.28        8.86720        4.99378     
  104548.        842.424        3600.72        8.87773        4.99857     
  106064.        842.424        3604.18        8.88832        5.00349     
  107579.        842.424        3607.62        8.89888        5.00845     
  109094.        842.424        3611.06        8.90948        5.01345     
  110609.        842.424        3614.48        8.91997        5.01831     
  112124.        842.424        3617.89        8.93047        5.02320     
  113639.        842.424        3621.30        8.94096        5.02812     
  115154.        842.424        3624.69        8.95142        5.03304     
  116669.        842.424        3628.06        8.96181        5.03779     
  118184.        842.424        3631.45        8.97225        5.04271     
  119699.        842.424        3634.81        8.98265        5.04760     
  121214.        842.424        3638.17        8.99304        5.05248     
  122729.        842.424        3641.52        9.00340        5.05733     
  124244.        842.424        3644.87        9.01378        5.06231     
  125759.        842.424        3648.19        9.02407        5.06705     
  127274.        842.424        3651.52        9.03439        5.07192     
  128789.        842.424        3654.82        9.04463        5.07669     
  130304.        842.424        3658.14        9.05495        5.08163     
  131819.        842.424        3661.43        9.06518        5.08642     
  133334.        842.424        3664.73        9.07547        5.09138     
  134849.        842.424        3668.00        9.08565        5.09609     
  136365.        842.424        3671.27        9.09581        5.10087     
  137880.        842.424        3674.55        9.10604        5.10583     
  139395.        842.424        3707.36        9.28774        5.21098     
  140910.        842.424        3711.56        9.30329        5.22054     
  142425.        842.424        3715.36        9.31674        5.22850     
  143940.        842.424        3719.47        9.33188        5.23770     
  145455.        842.424        3723.36        9.34593        5.24607     
  146970.        842.424        3727.31        9.36029        5.25467     
  148485.        842.424        3731.18        9.37422        5.26294     
  150000.        842.424        3735.15        9.38874        5.27187     
  10.0000        856.566        3207.97        7.78153        4.44609     
  1525.05        856.566        3216.87        7.80152        4.46099     
  3040.10        856.566        3226.73        7.82442        4.47667     
  4555.15        856.566        3304.98        7.97106        4.59381     
  6070.20        856.566        3310.06        7.98632        4.60064     
  7585.25        856.566        3314.52        7.99868        4.60552     
  9100.30        856.566        3318.96        8.01121        4.61053     
  10615.4        856.566        3323.38        8.02377        4.61558     
  12130.4        856.566        3347.93        8.10518        4.65229     
  13645.5        856.566        3362.10        8.15269        4.67338     
  15160.5        856.566        3367.94        8.17227        4.68178     
  16675.6        856.566        3372.64        8.18651        4.68774     
  18190.6        856.566        3376.96        8.19903        4.69315     
  19705.7        856.566        3381.32        8.21182        4.69857     
  21220.7        856.566        3387.49        8.23338        4.70754     
  22735.8        856.566        3393.04        8.25200        4.71522     
  24250.8        856.566        3397.66        8.26626        4.72139     
  25765.9        856.566        3401.69        8.27775        4.72648     
  27280.9        856.566        3406.60        8.29353        4.73330     
  28796.0        856.566        3410.60        8.30494        4.73818     
  30311.0        856.566        3415.00        8.31834        4.74402     
  31826.1        856.566        3419.46        8.33211        4.74988     
  33341.1        856.566        3423.70        8.34490        4.75553     
  34856.2        856.566        3427.51        8.35562        4.76034     
  36371.2        856.566        3431.88        8.36910        4.76619     
  37886.3        856.566        3435.86        8.38070        4.77145     
  39401.3        856.566        3440.09        8.39365        4.77702     
  40916.4        856.566        3443.98        8.40487        4.78192     
  42431.4        856.566        3448.08        8.41721        4.78723     
  43946.5        856.566        3452.06        8.42903        4.79247     
  45461.5        856.566        3456.04        8.44089        4.79766     
  46976.6        856.566        3459.96        8.45247        4.80280     
  48491.6        856.566        3463.88        8.46414        4.80799     
  50006.7        856.566        3467.71        8.47532        4.81302     
  51521.7        856.566        3471.67        8.48723        4.81834     
  53036.8        856.566        3475.50        8.49853        4.82355     
  54551.8        856.566        3479.38        8.51012        4.82864     
  56066.9        856.566        3483.18        8.52137        4.83375     
  57581.9        856.566        3486.99        8.53268        4.83868     
  59097.0        856.566        3490.80        8.54408        4.84376     
  60612.0        856.566        3494.59        8.55535        4.84880     
  62127.1        856.566        3498.37        8.56663        4.85391     
  63642.1        856.566        3502.14        8.57793        4.85901     
  65157.2        856.566        3505.90        8.58915        4.86411     
  66672.2        856.566        3509.63        8.60033        4.86917     
  68187.3        856.566        3513.35        8.61143        4.87414     
  69702.3        856.566        3517.06        8.62254        4.87920     
  71217.4        856.566        3520.75        8.63362        4.88420     
  72732.4        856.566        3524.44        8.64471        4.88925     
  74247.5        856.566        3528.12        8.65577        4.89433     
